state,nominal_seed,epoch,benchmark,n,score,change_pp
baseline,,0,open_prompt_injection,300,0.18,0.0
baseline,,0,tensor_trust_hijack,300,0.49166666666666664,0.0
baseline,,0,tensor_trust_extract,300,0.5983333333333334,0.0
baseline,,0,gsm8k,200,0.735,0.0
baseline,,0,ifeval,200,0.615,0.0
baseline,,0,mmlu,300,0.5666666666666667,0.0
run17_epoch1,17,1,open_prompt_injection,300,0.5066666666666667,32.66666666666667
run17_epoch1,17,1,tensor_trust_hijack,300,0.5433333333333333,5.16666666666667
run17_epoch1,17,1,tensor_trust_extract,300,0.7416666666666667,14.333333333333332
run17_epoch1,17,1,gsm8k,200,0.26,-47.5
run17_epoch1,17,1,ifeval,200,0.41,-20.5
run17_epoch1,17,1,mmlu,300,0.63,6.333333333333336
run17_epoch2,17,2,open_prompt_injection,300,0.6266666666666667,44.66666666666667
run17_epoch2,17,2,tensor_trust_hijack,300,0.5533333333333333,6.1666666666666705
run17_epoch2,17,2,tensor_trust_extract,300,0.705,10.666666666666657
run17_epoch2,17,2,gsm8k,200,0.45,-28.499999999999996
run17_epoch2,17,2,ifeval,200,0.395,-21.999999999999996
run17_epoch2,17,2,mmlu,300,0.6066666666666667,4.0000000000000036
run17_epoch3,17,3,open_prompt_injection,300,0.6766666666666666,49.666666666666664
run17_epoch3,17,3,tensor_trust_hijack,300,0.5416666666666666,4.999999999999999
run17_epoch3,17,3,tensor_trust_extract,300,0.67,7.166666666666666
run17_epoch3,17,3,gsm8k,200,0.555,-17.999999999999993
run17_epoch3,17,3,ifeval,200,0.435,-18.0
run17_epoch3,17,3,mmlu,300,0.5933333333333334,2.6666666666666727
run42_epoch1,42,1,open_prompt_injection,300,0.7533333333333333,57.33333333333333
run42_epoch1,42,1,tensor_trust_hijack,300,0.63,13.833333333333336
run42_epoch1,42,1,tensor_trust_extract,300,0.7066666666666667,10.833333333333329
run42_epoch1,42,1,gsm8k,200,0.28,-45.49999999999999
run42_epoch1,42,1,ifeval,200,0.385,-23.0
run42_epoch1,42,1,mmlu,300,0.6433333333333333,7.666666666666666
run42_epoch2,42,2,open_prompt_injection,300,0.74,56.00000000000001
run42_epoch2,42,2,tensor_trust_hijack,300,0.5633333333333334,7.166666666666671
run42_epoch2,42,2,tensor_trust_extract,300,0.655,5.666666666666664
run42_epoch2,42,2,gsm8k,200,0.51,-22.499999999999996
run42_epoch2,42,2,ifeval,200,0.485,-13.0
run42_epoch2,42,2,mmlu,300,0.6133333333333333,4.666666666666663
run42_epoch3,42,3,open_prompt_injection,300,0.6666666666666666,48.666666666666664
run42_epoch3,42,3,tensor_trust_hijack,300,0.5766666666666667,8.500000000000002
run42_epoch3,42,3,tensor_trust_extract,300,0.565,-3.3333333333333437
run42_epoch3,42,3,gsm8k,200,0.5,-23.5
run42_epoch3,42,3,ifeval,200,0.485,-13.0
run42_epoch3,42,3,mmlu,300,0.6,3.3333333333333326
run2026_epoch1,2026,1,open_prompt_injection,300,0.49,31.0
run2026_epoch1,2026,1,tensor_trust_hijack,300,0.6133333333333333,12.166666666666664
run2026_epoch1,2026,1,tensor_trust_extract,300,0.7833333333333333,18.499999999999993
run2026_epoch1,2026,1,gsm8k,200,0.29,-44.5
run2026_epoch1,2026,1,ifeval,200,0.435,-18.0
run2026_epoch1,2026,1,mmlu,300,0.6333333333333333,6.666666666666665
run2026_epoch2,2026,2,open_prompt_injection,300,0.55,37.00000000000001
run2026_epoch2,2026,2,tensor_trust_hijack,300,0.6116666666666667,12.000000000000005
run2026_epoch2,2026,2,tensor_trust_extract,300,0.7066666666666667,10.833333333333329
run2026_epoch2,2026,2,gsm8k,200,0.445,-28.999999999999996
run2026_epoch2,2026,2,ifeval,200,0.415,-20.0
run2026_epoch2,2026,2,mmlu,300,0.61,4.333333333333334
run2026_epoch3,2026,3,open_prompt_injection,300,0.6066666666666667,42.66666666666667
run2026_epoch3,2026,3,tensor_trust_hijack,300,0.565,7.33333333333333
run2026_epoch3,2026,3,tensor_trust_extract,300,0.68,8.166666666666666
run2026_epoch3,2026,3,gsm8k,200,0.535,-19.999999999999996
run2026_epoch3,2026,3,ifeval,200,0.47,-14.500000000000002
run2026_epoch3,2026,3,mmlu,300,0.5933333333333334,2.6666666666666727
