benchmark,ci_high,ci_low,epoch,n,observed_difference,run_seed
open_prompt_injection,0.3933333333333333,0.26,1,300,0.32666666666666666,17
tensor_trust_hijack,0.08333333333333333,0.02,1,300,0.051666666666666666,17
tensor_trust_extract,0.18666666666666668,0.1,1,300,0.14333333333333334,17
mmlu,0.10666666666666667,0.02,1,300,0.06333333333333334,17
gsm8k,-0.395,-0.55,1,200,-0.475,17
ifeval,-0.125,-0.285,1,200,-0.205,17
open_prompt_injection,0.52,0.37333333333333335,2,300,0.44666666666666666,17
tensor_trust_hijack,0.10166666666666667,0.021666666666666667,2,300,0.06166666666666667,17
tensor_trust_extract,0.15,0.06333333333333334,2,300,0.10666666666666667,17
mmlu,0.08666666666666667,-0.006666666666666667,2,300,0.04,17
gsm8k,-0.21,-0.36,2,200,-0.285,17
ifeval,-0.14,-0.3,2,200,-0.22,17
open_prompt_injection,0.57,0.42325000000000007,3,300,0.49666666666666665,17
tensor_trust_hijack,0.09166666666666666,0.008333333333333333,3,300,0.05,17
tensor_trust_extract,0.11833333333333333,0.023333333333333334,3,300,0.07166666666666667,17
mmlu,0.07333333333333333,-0.02,3,300,0.02666666666666667,17
gsm8k,-0.105,-0.255,3,200,-0.18,17
ifeval,-0.095,-0.265,3,200,-0.18,17
open_prompt_injection,0.64,0.5066666666666667,1,300,0.5733333333333334,42
tensor_trust_hijack,0.17666666666666667,0.1,1,300,0.13833333333333334,42
tensor_trust_extract,0.155,0.06333333333333334,1,300,0.10833333333333334,42
mmlu,0.11666666666666667,0.03666666666666667,1,300,0.07666666666666666,42
gsm8k,-0.375,-0.535,1,200,-0.455,42
ifeval,-0.15,-0.315,1,200,-0.23,42
open_prompt_injection,0.63,0.4866666666666667,2,300,0.56,42
tensor_trust_hijack,0.11,0.03333333333333333,2,300,0.07166666666666667,42
tensor_trust_extract,0.105,0.01,2,300,0.056666666666666664,42
mmlu,0.09333333333333334,-0.0033333333333333335,2,300,0.04666666666666667,42
gsm8k,-0.14,-0.31,2,200,-0.225,42
ifeval,-0.055,-0.205,2,200,-0.13,42
open_prompt_injection,0.5566666666666666,0.4166666666666667,3,300,0.4866666666666667,42
tensor_trust_hijack,0.12333333333333334,0.04666666666666667,3,300,0.085,42
tensor_trust_extract,0.018333333333333333,-0.085,3,300,-0.03333333333333333,42
mmlu,0.08341666666666545,-0.02,3,300,0.03333333333333333,42
gsm8k,-0.16,-0.31,3,200,-0.235,42
ifeval,-0.045,-0.215,3,200,-0.13,42
open_prompt_injection,0.37666666666666665,0.24333333333333335,1,300,0.31,2026
tensor_trust_hijack,0.15833333333333333,0.085,1,300,0.12166666666666667,2026
tensor_trust_extract,0.23166666666666666,0.13833333333333334,1,300,0.185,2026
mmlu,0.11,0.023333333333333334,1,300,0.06666666666666667,2026
gsm8k,-0.365,-0.52,1,200,-0.445,2026
ifeval,-0.1,-0.26,1,200,-0.18,2026
open_prompt_injection,0.43666666666666665,0.3,2,300,0.37,2026
tensor_trust_hijack,0.15833333333333333,0.08,2,300,0.12,2026
tensor_trust_extract,0.15666666666666668,0.06,2,300,0.10833333333333334,2026
mmlu,0.08666666666666667,0.0,2,300,0.043333333333333335,2026
gsm8k,-0.215,-0.365,2,200,-0.29,2026
ifeval,-0.12,-0.28,2,200,-0.2,2026
open_prompt_injection,0.49666666666666665,0.3566666666666667,3,300,0.4266666666666667,2026
tensor_trust_hijack,0.11333333333333333,0.03333333333333333,3,300,0.07333333333333333,2026
tensor_trust_extract,0.13,0.03333333333333333,3,300,0.08166666666666667,2026
mmlu,0.07333333333333333,-0.02,3,300,0.02666666666666667,2026
gsm8k,-0.12,-0.28,3,200,-0.2,2026
ifeval,-0.065,-0.225,3,200,-0.145,2026
